, PRO CASH ,, PRO TJ  ,,,,,,,,,,,,,,Date,Provider,Product,Quantity,Price,Total,Cash/card,,,,,,,,,
5/10/2024,,, $10.00 ,jinny b,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,telarana,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2024,,, $16.00 ,gel,5:56,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 mayo , $63.00 ,aguacate 2 protector ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $83.00 ,, $57.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $63.00 ,TAHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $20.00 ,FELIX, $57.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2024, $15.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2024, $12.00 ,gel p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024,,polvo tex, $10.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,moose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,blumin mask, $25.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $10.00 ,polvo tex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,shampoo blumin, $25.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sabado, $15.00 ,jonyb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,spider wax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,jby,3.11pm,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $10.00 ,tx pow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $10.00 ,polvo tex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $123.00 ,, $75.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $36.00 ,TAHE, $50.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $87.00 ,FELIX, $25.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tahe, $80.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mascarilla, $25.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel mode jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2024, $16.00 ,del azul ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,aciete, $14.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gelmorad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $45.00 ,sahm y mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2024, $15.00 ,gel verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GRL, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $137.00 ,, $134.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $45.00 ,TAHE, $134.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $92.00 ,FELIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.28.2024, $15.00 ,gel purple jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel azul, $32.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,MOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $10.00 ,,12 06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2024, $15.00 ,refi gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $10.00 ,POLVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,polvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,wax gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $88.00 ,, $42.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $33.00 ,TAHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $55.00 ,FELIX, $42.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,agiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TAHE, $65.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,POLVO LV3, $14.00 ,7.22PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TAHE, $75.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2024, $18.00 ,crem thE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tahe, $18.00 ,,elkindmiel,,7.29pm,,,,,,,,,,,,,,,,,,,,,,,,,
,,polvo, $14.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/824,,gel, $15.00 ,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,cera, $13.00 , ,12.30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2024, $15.00 ,geljby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,mouse ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $66.00 ,, $229.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $51.00 ,TAHE, $158.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,FELIX, $71.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel jb, $15.00 ,3.27pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $13.00 ,jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,pienetas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,pienetas, $25.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $20.00 ,ACONDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $38.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $81.00 ,, $78.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $38.00 ,TAHE, $40.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $43.00 ,FELIX, $38.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2024,,, $13.00 ,st cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $25.00 ,blumin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2024, $14.00 ,polvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel jb, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel jb, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $10.00 ,tahee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $45.00 ,tahee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gentle rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $18.00 ,,mouse,2 48 pm,,,,,,,,,,,,,,,,,,,,,,,,,,
, $127.00 ,, $61.00 ,FELIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $113.00 ,TAHE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $14.00 ,FELIX ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2024, $15.00 ,wax agiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,hair spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jun, $65.00 ,tahe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2024, $14.00 ,acite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,aciete, $14.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $60.00 ,tahe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2024, $13.00 ,cera jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,cera jb, $16.00 ,jb 10;48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $35.00 ,shampoo felps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $13.00 ,cera jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,GEL,6:31,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $14.00 ,polvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $10.00 ,polvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $254.00 ,, $45.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $174.00 ,TAHE, $14.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $80.00 ,FELIX, $31.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2024,,, $14.00 ,color,12:59,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $80.00 ,TAHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Jul,,firenz, $25.00 ,1;38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2024, $10.00 ,polvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $25.00 ,BLIMIN,12:33,, ,2 dollar ,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,JB MOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2024,,POLVO GRANDE , $15.00 ,,3:07,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,GEL, $25.00 ,FIRZN ,ZELL ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Jul, $45.00 ,flix , $18.00 ,muss,1;17,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,crem thae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $10.00 ,styp,5:26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,POLVO, $14.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $168.00 ,, $161.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $80.00 ,TAHE , $43.00 ,TAHE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $88.00 ,FELIX , $118.00 ,FLIX ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2024, $15.00 ,telarana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $18.00 ,muss,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.10.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 ,CERA AGIVA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.12, $15.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $25.00 ,chapooblumin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jul, $20.00 ,crema ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,wax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,acite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $142.00 ,, $18.00 ,TAHE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 81.00 ,TAHE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 61.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2024, $30.00 ,polvo cera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,cra kull, $16.00 ,4;6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tah , $45.00 ,6;56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 19 24,,power style, $10.00 ,,12 02 pm,lesther,,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2024,,, $16.00 ,,2:28,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,pawer, $25.00 ,5;30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel morado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,POWE STYLE, $10.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WAX GEL,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jul, $16.00 ,WAX GEL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,arana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $61.00 ,FELIX, $137.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $45.00 ,TAHE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $92.00 ,FLIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.26.24, $20.00 ,gel jb big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $20.00 ,frienze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tahe, $16.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.27.2024, $10.00 ,polvo texture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel jb , $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 , wax 02 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2024, $10.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $13.00 ,jb wax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $20.00 ,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $89.00 ,0, $51.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tahe, $36.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $89.00 ,FELIX , $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $18.00 ,mouse,12:03,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,polvo textura, $15.00 ,,7:21,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel, $16.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2024, $15.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,cera , $15.00 ,,2:25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,cera , $15.00 ,,2:26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gej jb blu, $16.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $2.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $8.00 ,adorno/ monse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $8.00 ,polvo wil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,plvo,monse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $25.00 ,FLIX , $118.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $26.00 ,TAH ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $92.00 ,FELIX ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2024,,, $15.00 ,polvo,monse,12:14,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,polvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,GEL MORADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,grl morado,jacki,6:31,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,polvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $14.00 ,acite tahe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $25.00 ,blumin maskl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Aug,,tah , $15.00 ,,1;01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $75.00 ,gold mask y sha,,3:43,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel jb purple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,polvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,polvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,jb gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel jb purple, $15.00 ,,3 58 pm,,lesther,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $144.00 ,, $150.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $39.00 ,THAE , $90.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $105.00 ,FELIX , $60.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Aug, $15.00 ,gel morado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $25.00 ,shampoo tahe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tah , $45.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Aug, $18.00 ,moose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $12.00 ,flx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 ,jb ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel wil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,angel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel , $15.00 ,sty pow,4:58, R,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $45.00 ,tahe  ,2;31,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $165.00 ,, $105.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $36.00 ,tahe , $90.00 ,tahe  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $129.00 ,flix , $15.00 ,flix ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Aug, $25.00 ,MASCARILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Aug, $7.00 ,gel ngro jacki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $10.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Aug,,, $15.00 ,GEL JB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Aug, $45.00 , duo sham tae ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,cera, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug, $15.00 ,jb gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $117.00 ,, $30.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $70.00 ,tahe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $47.00 ,FELIX, $30.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Aug,,, $15.00 ,moouse,3:42,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,STYPOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,cera agiva, $15.00 ,,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,flix , $50.00 ,7;24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $8.00 ,CERA   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERA, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,jb gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Sep, $15.00 ,gell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $24.00 ,POWER ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,polvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Sep, $18.00 ,mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $125.00 ,, $80.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $30.00 ,flix ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $50.00 ,tahe  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Sep, $22.00 ,flix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $8.00 ,tahe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tahe , $60.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/2024,,polvo lev3l, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,geltah, $15.00 ,5;16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jb, $31.00 ,,7;22,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,level ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sprai color, $15.00 ,7;46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $60.00 ,tahe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,polvo agiva blac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,agiva matte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $35.00 ,tah 2;53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $8.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $143.00 ,, $171.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $68.00 ,TAEH, $95.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $75.00 ,FELIX, $76.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
