, PRO CASH ,, PRO TJ  ,,,,,,,,,,,,,,Date,Provider,Product,Quantity,Price,Total,Cash/card,,,,,,,,,
, $18.00 ,keratin gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $10.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/2024, $18.00 ,mousse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,mousse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,spider wax,3;55,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Feb,,, $25.00 ,gyf cartd  2/4/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $114.00 ,, $55.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $89.00 ,TAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $25.00 ,FLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/2024, $15.00 ,jby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb, $60.00 ,tahe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,styling cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $22.00 ,,5.01pm,cosmetics verde,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2024, $15.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,jby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 , FEL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,mousse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Feb, $63.00 ,tah, $45.00 ,tah ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Feb,,, $16.00 ,flx,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,mus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $81.00 ,, $61.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $45.00 ,TAHE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
